ticker,date,entry_date,entry_price,execution,score,signal,vwap_signal,vwap_regime,vwap_rvol,vwap_distance_5d_pct,vwap_slope_5d_pct,vwap_distance_20d_pct,vwap_slope_20d_pct,vwap_distance_60d_pct,vwap_slope_60d_pct,wyckoff_daily_sc,wyckoff_daily_bc,wyckoff_daily_spring,wyckoff_daily_ut,wyckoff_daily_sos,wyckoff_daily_sow,wyckoff_daily_lps,wyckoff_daily_lpsy,wyckoff_weekly_sc,wyckoff_weekly_bc,wyckoff_weekly_spring,wyckoff_weekly_ut,wyckoff_weekly_sos,wyckoff_weekly_sow,wyckoff_weekly_lps,wyckoff_weekly_lpsy,wyckoff_swing_sc,wyckoff_swing_bc,wyckoff_swing_spring,wyckoff_swing_ut,wyckoff_swing_sos,wyckoff_swing_sow,wyckoff_swing_lps,wyckoff_swing_lpsy,comp_trend,comp_wyckoff,comp_vwap,comp_comparative_strength,comp_support_resistance,gross_return_5d_pct,return_5d_pct,gross_return_20d_pct,return_20d_pct,gross_return_60d_pct,return_60d_pct
AADI,2025-06-23,2025-06-24,6168.1384,next_session_open,-25.0,pantau,EXIT,neutral,0.7065,-1.6046,-2.0654,-2.9168,-1.9565,-0.4862,0.3493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-15,-15,5,-3.5842,-4.2842,-0.0,-0.7,-0.0,-0.7
AADI,2025-07-01,2025-07-02,5969.1662,next_session_open,-20.0,pantau,EXIT,neutral,0.5346,-1.785,-2.5668,-4.6728,-0.8651,-3.8718,0.0498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-15,-15,10,2.2222,1.5222,2.963,2.263,12.5926,11.8926
AADI,2025-07-08,2025-07-09,6101.8142,next_session_open,10.0,pantau,EXIT,neutral,0.2813,0.2584,1.3252,-1.9745,0.1396,-1.6875,0.1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-15,15,10,1.8116,1.1116,1.087,0.387,10.1449,9.4449
AADI,2025-07-15,2025-07-16,6256.5705,next_session_open,-30.0,pantau,REDUCE,neutral,0.7772,0.9621,0.4298,0.7206,-0.6824,-0.6122,0.6245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,0.0,15,-15,0,-1.4134,-2.1134,-0.0,-0.7,8.1272,7.4272
AADI,2025-07-22,2025-07-23,6278.6784,next_session_open,-25.0,pantau,REDUCE,neutral,3.796,1.6261,-1.3726,1.3793,-1.0727,-2.0501,0.2832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,0.0,15,-15,5,-2.1127,-2.8127,-3.5211,-4.2211,10.5634,9.8634
AADI,2025-07-29,2025-07-30,6190.2462,next_session_open,5.0,pantau,REDUCE,bearish,0.9515,-1.5489,1.4003,0.0683,0.3799,-2.3912,-0.0825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15,-15,5,-0.3571,-1.0571,0.3571,-0.3429,12.8571,12.1571
AADI,2025-08-05,2025-08-06,6212.3546,next_session_open,35.0,pantau,REDUCE,neutral,1.7006,1.5722,-0.8507,0.5439,-0.1784,-2.0501,0.0563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.0,15,-15,5,0.7117,0.0117,2.1352,1.4352,22.7758,22.0758
AADI,2025-08-12,2025-08-13,6234.4624,next_session_open,25.0,pantau,EXIT,neutral,1.0034,-1.5844,3.0869,0.9408,0.7274,-0.8619,0.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.0,15,-15,-5,-2.8369,-3.5369,0.0,-0.7,23.0496,22.3496
AADI,2025-08-20,2025-08-21,6079.7062,next_session_open,10.0,pantau,EXIT,bearish,0.6679,-1.1754,-2.9949,-2.5753,0.2833,-2.8838,-0.9689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.0,-15,-15,10,2.1818,1.4818,1.4545,0.7545,27.2727,26.5727
AADI,2025-08-27,2025-08-28,6234.4623,next_session_open,-5.0,pantau,REDUCE,neutral,0.9498,-0.4351,2.5389,-0.1178,0.3498,0.0838,-0.1658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.0,-15,-15,-5,1.7731,1.0731,7.8014,7.1014,16.7543,16.0543
AADI,2025-09-03,2025-09-04,6367.1106,next_session_open,-5.0,pantau,HOLD,bullish,2.6349,1.0663,0.5294,1.3944,0.524,2.1153,0.1937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15,-15,-5,-2.0833,-2.7833,5.5555,4.8555,9.8822,9.1822
AADI,2025-09-11,2025-09-12,6234.4626,next_session_open,-5.0,pantau,EXIT,neutral,0.4535,-1.234,-0.1981,-0.0841,-0.4245,0.4713,-0.1697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-15,15,-5,-1.0638,-1.7638,8.5106,7.8106,13.7315,13.0315
AADI,2025-09-18,2025-09-19,6190.2466,next_session_open,5.0,pantau,EXIT,bearish,0.6827,-0.751,-0.2206,-1.4765,0.2238,-0.5059,-0.0425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-15,15,5,8.5714,7.8714,12.1428,11.4428,7.6941,6.9941
AADI,2025-09-25,2025-09-26,6720.8388,next_session_open,60.0,beli,HOLD,bullish,2.0429,3.4221,4.2888,5.806,1.3375,7.6391,0.6724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.0,15,15,0,-0.0,-0.7,3.9474,3.2474,-0.8081,-1.5081
AADI,2025-10-02,2025-10-03,6765.0546,next_session_open,60.0,beli,BUY,bullish,2.2169,0.7733,1.0415,3.9287,1.0883,6.8858,0.3502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.0,15,15,0,0.0,-0.7,12.7451,12.0451,-2.1528,-2.8528
AADI,2025-10-09,2025-10-10,6787.1625,next_session_open,55.0,beli,REDUCE,bullish,6.6002,-2.1461,4.3373,1.3243,2.9723,5.8223,1.5049,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0.0,15,15,-5,2.2801,1.5801,13.0293,12.3293,2.0404,1.3404
AADI,2025-10-16,2025-10-17,6964.0267,next_session_open,60.0,beli,HOLD,bullish,0.7425,0.7677,-0.6679,2.5096,0.9895,7.2994,0.8014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.0,15,15,0,0.3175,-0.3825,11.1111,10.4111,0.802,0.102
AADI,2025-10-23,2025-10-24,6986.1351,next_session_open,60.0,beli,REDUCE,bullish,0.548,-0.0233,0.9534,1.6336,0.9905,7.1509,0.4062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.0,15,15,0,9.1772,8.4772,4.1921,3.4921,7.564,6.864
